phenocode	phenostring	category	pval	beta	maf	maf_case	maf_control	n_case	n_control
M13_OVERLAP	Other overlap syndromes	Diseases of the musculoskeletal system and connective tissue (M13_)	0.104736	0.171517	0.114622	0.13284	0.114598	441	332115
CD2_BENIGN_URINARY	Benign neoplasm of urinary organs	Neoplasms from hospital discharges (CD2_)	0.10565	-0.112062	0.114848	0.104188	0.114881	1030	341469
N14_RENALTUB	Renal tubulo-interstitial diseases	Diseases of the genitourinary system (N14_)	0.106152	0.0209898	0.114848	0.1167	0.114648	33404	309095
H7_GLAUCOMAMEDICATION	Use of antiglaucoma preparations and miotics	Diseases of the eye and adnexa (H7_)	0.107229	0.0801811	0.114634	0.122206	0.114587	2043	326434
I9_VARICVESOTH	Varicose veins of other sites	Diseases of the circulatory system (I9_)	0.10753	-0.0884441	0.114784	0.105386	0.114837	1664	295014
M13_TROCHANTERICBURSITIS	Trochanteric bursitis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.107567	-0.0668582	0.114805	0.107699	0.114888	2947	253122
H7_CORNEALNAS	Other and unspecified corneal deformities and disorders	Diseases of the eye and adnexa (H7_)	0.108881	-0.13213	0.114614	0.100856	0.114645	735	325475
L12_DECUBITANSULCERANDPRESSURE	Decubitus ulcer and pressure area	Diseases of the skin and subcutaneous tissue (L12_)	0.109226	0.0995669	0.114808	0.1258	0.114764	1285	321903
G6_PERIPHOTH	Other disorders of peripheral nervous system	Diseases of the nervous system (G6_)	0.10937	0.321445	0.114817	0.146341	0.114805	123	336784
E4_FLUIDELECTRONAS	Other disorders of electrolyte and fluid balance, not elsewhere classified	Endocrine, nutritional and metabolic diseases (E4_)	0.109423	0.249472	0.114871	0.140394	0.114853	203	296380
L12_NECROLIPOIDIC	Necrobiosis lipoidica, not elsewhere classified	Diseases of the skin and subcutaneous tissue (L12_)	0.109426	0.298575	0.114777	0.143357	0.114764	143	321903
K11_PERFOES	Perforation of oesophagus	Diseases of the digestive system (K11_)	0.109477	0.350295	0.115004	0.150485	0.114992	103	292256
J10_EXTERLUNG	Lung diseases due to external agents	Diseases of the respiratory system (J10_)	0.1095	-0.0579702	0.114848	0.108522	0.114921	3863	338636
L12_PIGMENTNAS	Other and unspecified disorders of pigmentation	Diseases of the skin and subcutaneous tissue (L12_)	0.110234	0.279764	0.114778	0.141975	0.114764	162	321903
Q17_CLEFT_HARD_PALATE_NOS	Cleft hard palate NOS	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.110744	-0.343664	0.114818	0.0809524	0.114828	105	341904
CPAP	Continuous positive airway pressure	Interstitial lung disease endpoints	0.110816	0.0464681	0.115307	0.122897	0.114985	6560	154224
K11_PARODON_OPER_DENTAL_OPER	Parodontitis or/and operation codes	Diseases of the digestive system (K11_)	0.111554	0.0245786	0.114848	0.117683	0.114651	22338	320161
D3_IMMUDEFOTHER	Other immunodeficiencies	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.112721	0.223261	0.114699	0.137948	0.114682	249	337121
O15_MATERN_CARE	Maternal care related to the fetus and amniotic cavity and possible delivery problems	Pregnancy, childbirth and the puerperium (O15_)	0.113046	-0.0216684	0.114492	0.112874	0.114878	36777	154102
KRA_PSY_PERSON_EXMORE	Personality disorders	Psychiatric endpoints from Katri Räikkönen	0.113607	-0.0435782	0.115037	0.112005	0.115145	9088	254972
ST19_FRACT_LUMBAR_SPINE_PELVIS	Fracture of lumbar spine and pelvis	Injury, poisoning and certain other consequences of external causes (ST19_)	0.114281	0.0485556	0.114942	0.11959	0.114867	5364	331508
N14_CHRONKIDNEYDIS	Chronic kidney disease	Diseases of the genitourinary system (N14_)	0.115606	0.0401782	0.114832	0.119471	0.114721	7916	330300
RX_RHEUMA_BIOLOGICAL	Biological medication for rheuma	Drug purchase endpoints	0.115642	0.0599183	0.114848	0.121151	0.114785	3440	339059
CD2_BENIGN_DUODENUM	Benign neoplasm: Duodenum	Neoplasms from hospital discharges (CD2_)	0.116699	-0.151412	0.114848	0.0982317	0.114875	540	341959
D3_CVID	Common variable immunodeficiency	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.116799	0.281349	0.114696	0.145695	0.114682	151	337121
K11_BARRET	Barrett oesophagus	Diseases of the digestive system (K11_)	0.116829	-0.113854	0.114955	0.103573	0.114992	946	292256
N14_CERVICAL_DYSPLASIA_ALL	All dysplastic lesions of the cervix uteri	Diseases of the genitourinary system (N14_)	0.116946	-0.042718	0.114492	0.110853	0.11463	6957	183922
N14_INFLUTH	Inflammatory disease of uterus	Diseases of the genitourinary system (N14_)	0.117501	-0.0571674	0.114336	0.108773	0.114459	3806	171306
G6_PARDIPLE	Paraplegia, diplegia of upper limbs	Diseases of the nervous system (G6_)	0.117566	0.150113	0.11488	0.131365	0.114854	534	339360
F5_MODRET	Moderate mental retardation	Mental and behavioural disorders (F5_)	0.117964	-0.288027	0.114844	0.0827815	0.114859	151	341375
E4_HYPERLIPNAS	Hyperlipidaemia, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	0.117965	-0.0351913	0.114712	0.110747	0.114853	10567	296380
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Comorbidities of Asthma	0.118093	-0.0749835	0.115305	0.106774	0.115366	2179	305246
DM_VITREOUS_BLEEDING	Vitreous bleeding (caused by prolif. dmrp when together with H36.03*)	Diabetes endpoints	0.118214	0.0706356	0.114732	0.121402	0.114682	2452	332432
N14_RENFAIL	Renal failure	Diseases of the genitourinary system (N14_)	0.118708	0.032461	0.114848	0.118296	0.114721	12199	330300
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	Certain infectious and parasitic diseases (AB1_)	0.118791	-0.0645218	0.114772	0.108023	0.114832	2924	330087
J10_PLEUREFFUSION	Pleural effusion	Diseases of the respiratory system (J10_)	0.119254	-0.0554251	0.114827	0.109794	0.114889	3994	328786
M13_CALCANSPUR	Calcaneal spur	Diseases of the musculoskeletal system and connective tissue (M13_)	0.119497	0.208579	0.114914	0.138847	0.114888	271	253122
AB1_VIRAL_NOS	Other viral diseases, not elsewhere classified	Certain infectious and parasitic diseases (AB1_)	0.120321	0.0481084	0.114762	0.119808	0.114683	5244	333715
O15_PLAC_DISORD	Placental disorders	Pregnancy, childbirth and the puerperium (O15_)	0.12055	0.248579	0.11491	0.140547	0.114878	193	154102
D3_ANAEMIA_IRONDEF	Iron deficiency anaemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.12115	0.0324447	0.114789	0.11795	0.114675	11826	327922
I9_ABAORTANEUR	Abdominal aortic aneurysm (AAA)	Diseases of the circulatory system (I9_)	0.121195	0.0625598	0.11487	0.121597	0.114802	3201	317899
F5_SOMATOFORM	Somatoform disorder	Mental and behavioural disorders (F5_)	0.121339	-0.0515447	0.114826	0.109425	0.114906	4557	307558
H7_STRABOTH	Other strabismus	Diseases of the eye and adnexa (H7_)	0.121487	-0.0437861	0.114804	0.109207	0.114913	6402	328688
H7_RETINALDETACH	Retinal detachments and breaks	Diseases of the eye and adnexa (H7_)	0.121512	0.0355058	0.114689	0.118304	0.114575	9870	314042
M13_ARTHROSIS_KNEE_PRIM_KNEESURG	Gonarthrosis, primary, with knee surgery	Diseases of the musculoskeletal system and connective tissue (M13_)	0.123574	0.0282401	0.114867	0.117039	0.114749	16630	307190
N14_OVARTORS	Torsion of ovary, ovarian pedicle and fallopian tube	Diseases of the genitourinary system (N14_)	0.12394	-0.145369	0.114777	0.100887	0.114854	559	100663
M13_BAKERCYST	Synovial cyst of popliteal space [Baker]	Diseases of the musculoskeletal system and connective tissue (M13_)	0.123989	0.0804279	0.114948	0.123309	0.114888	1827	253122
CD2_BENIGN_BONE_SHORT_UPPER	Benign neoplasm: Short bones of upper limb	Neoplasms from hospital discharges (CD2_)	0.124552	0.187114	0.114848	0.131674	0.114832	338	342161
Q17_OTHER_CONGEN_MALFO_TONGUE_MOUTH_PHARYNX	Other congenital malformations of tongue, mouth and pharynx	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.124728	-0.195632	0.114841	0.09975	0.114854	298	341501
ASTHMA_INFECTIONS	Asthma-related infections	Asthma and related endpoints	0.124856	-0.0253805	0.115185	0.112334	0.115366	19338	305246
C3_GBM_EXALLC	Brain glioblastoma	Neoplasms, from cancer register (ICD-O-3)	0.125149	-0.266853	0.115534	0.0896272	0.11555	162	259583
K11_SUPNUM_ONLY	Supernumerary teeth EXCLUDE clefts and syndromes	Diseases of the digestive system (K11_)	0.12675	0.359371	0.114848	0.15	0.114839	90	342409
H7_ORBIT	Disorders of orbit	Diseases of the eye and adnexa (H7_)	0.127087	0.104346	0.114935	0.126851	0.114895	1052	314292
P16_FEEDI_PROBL_NEWBO	Feeding problems of newborn	Certain conditions originating in the perinatal period (P16_)	0.127302	-0.352442	0.114844	0.0824176	0.114853	91	342269
C3_BREAST_HERNEG_EXALLC	Malignant neoplasm of breast, HER-negative	Neoplasms, from cancer register (ICD-O-3)	0.127613	-0.0493174	0.114846	0.11108	0.114973	5056	149279
K11_ORALCYST	Cysts of oral region, not elsewhere classified	Diseases of the digestive system (K11_)	0.127717	-0.104509	0.114249	0.10402	0.114293	1058	242518
F5_SEXDYS	Sexual dysfunction	Mental and behavioural disorders (F5_)	0.127863	0.208455	0.114862	0.136364	0.114845	264	333532
F5_SCHZPHR	Schizophrenia	Mental and behavioural disorders (F5_)	0.128071	-0.0661998	0.11499	0.106748	0.115147	6280	330132
K11_REFLUX	Gastro-oesophageal reflux disease	Interstitial lung disease endpoints	0.128888	-0.0233173	0.114855	0.113109	0.114992	22867	292256
G6_MERALGIA	Meralgia paraesthetica	Diseases of the nervous system (G6_)	0.129823	0.125314	0.114506	0.126234	0.114478	730	301193
N14_PROHERNOV	Prolapse and hernia of ovary and fallopian tube	Diseases of the genitourinary system (N14_)	0.129914	-0.109072	0.114754	0.104965	0.114854	1034	100663
KRA_PSY_SPEELING_EXMORE	Speech and linguistic disorders	Psychiatric endpoints from Katri Räikkönen	0.130025	-0.0748021	0.115118	0.112258	0.115144	2288	254976
I9_AORTVALV_EARLY	Aortic valve malfunction, age under 60 years	Diseases of the circulatory system (I9_)	0.130539	-0.0698341	0.114848	0.107157	0.114902	2355	340144
AB1_OTHER_INFECTIONS	Other infectious diseases	Certain infectious and parasitic diseases (AB1_)	0.130612	-0.0742324	0.114848	0.106746	0.114898	2079	340420
PULM_INFECTIONS	COPD/asthma/ILD related infections	Interstitial lung disease endpoints	0.131332	0.0126011	0.114848	0.115797	0.114431	104624	237875
H7_LACRIMINFLAMACU	Inflammation of lacrimal passages (acute and unspecified)	Diseases of the eye and adnexa (H7_)	0.132824	-0.172394	0.114874	0.0976917	0.114895	378	314292
L12_PARAPSO_RETIFORM	Other and unspecified parapsoriasis	Diseases of the skin and subcutaneous tissue (L12_)	0.133361	-0.333198	0.114802	0.0816327	0.114812	98	330975
K11_APHTA_RECUR_INCLAVO	Recurring oral aphthae, including avohilmo	Diseases of the digestive system (K11_)	0.133405	0.0608808	0.114848	0.121195	0.114792	3026	339473
CD2_BENIGN_MOUTH_PHARYNX	Benign neoplasm of mouth and pharynx	Neoplasms from hospital discharges (CD2_)	0.134178	-0.0625728	0.114848	0.108891	0.114899	2853	339646
O15_MAT_CARE_MALPRESENT	Maternal care for known or suspected malpresentation of fetus	Pregnancy, childbirth and the puerperium (O15_)	0.134243	-0.0477832	0.114728	0.110289	0.114878	5191	154102
K11_ERUPTION_INCLAVO	Tooth eruption problems	Diseases of the digestive system (K11_)	0.134626	-0.0592612	0.114848	0.109512	0.114899	3240	339259
P16_INFECTIONS_SPECIFIC_PERINA_PERIOD	Infections specific to the perinatal period	Certain conditions originating in the perinatal period (P16_)	0.134678	0.22113	0.114848	0.148472	0.114826	229	342270
O15_PREG_ECTOP	Ectopic pregnancy	Pregnancy, childbirth and the puerperium (O15_)	0.135694	0.047711	0.114555	0.118894	0.114394	5052	135962
H7_ORBITNAS	Other and unspecified disorders of orbit	Diseases of the eye and adnexa (H7_)	0.135846	0.341637	0.114905	0.148874	0.114895	94	314292
G6_EPLEPSY	Epilepsy	Diseases of the nervous system (G6_)	0.136001	0.0333493	0.115081	0.117705	0.114978	10354	264662
D3_IMMUNEMECHANISMNAS	Other and unspecified disorders involving the immune mechanism, not elsewhere classified	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.136371	0.130037	0.114708	0.128098	0.114682	649	337121
L12_HYPERTROPHICNAS	Other and unspecified hypertrophic disorders of skin	Diseases of the skin and subcutaneous tissue (L12_)	0.136666	-0.302701	0.114753	0.0833333	0.114764	120	321903
E4_VIT_A_DEF	Vitamin A deficiency	Endocrine, nutritional and metabolic diseases (E4_)	0.137747	0.321131	0.114866	0.146374	0.114856	106	323324
CD2_BENIGN_OVARY	Benign neoplasm of ovary	Neoplasms from hospital discharges (CD2_)	0.137815	0.048386	0.114492	0.119488	0.114363	4805	186074
CD2_BENIGN_BRAIN_NOS	Benign neoplasm: Brain, unspecified	Neoplasms from hospital discharges (CD2_)	0.138113	0.281419	0.114848	0.141586	0.114838	139	342360
L12_ERYTHEMATOUSOTH	Other erythematous conditions	Diseases of the skin and subcutaneous tissue (L12_)	0.138181	0.119698	0.114687	0.125905	0.114661	766	331270
N14_FEMALEINFERT	Female infertility	Diseases of the genitourinary system (N14_)	0.138548	-0.0327199	0.114529	0.111667	0.114854	11442	100663
E4_LOCALADIP	Localized adiposity	Endocrine, nutritional and metabolic diseases (E4_)	0.138925	-0.313667	0.114902	0.0830185	0.114913	109	324070
N14_UTER_POLYP	Uterine polyps	Diseases of the genitourinary system (N14_)	0.139384	-0.0665354	0.114734	0.109894	0.114854	2515	100663
SPONDYLOARTHRITIS	Spondyloarthritis	Comorbidities of Interstitial lung disease endpoints	0.140313	0.0443251	0.114479	0.118852	0.1144	5599	310937
I9_HEARTFAIL_AND_ANTIHYPERT	Heart failure and antihypertensive medication	Cardiometabolic endpoints	0.140406	0.0294675	0.114905	0.115952	0.114765	22560	168185
O15_AMNIOT_OTHER	Other disorders of amniotic fluid and membranes	Pregnancy, childbirth and the puerperium (O15_)	0.14099	-0.0561231	0.114746	0.109024	0.114878	3545	154102
Q17_CHROMOSOMAL_ABNORMALITI_NOT_ELSEW_CLASSIFIED	Chromosomal abnormalities, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.141043	-0.163039	0.114848	0.0985499	0.114868	407	342092
F5_DEMENTIA	Dementia	Mental and behavioural disorders (F5_)	0.141363	0.0316448	0.114884	0.11571	0.11485	13517	325306
BLEEDING	Bleeding	Miscellaneous, not yet classified endpoints	0.141561	0.0199395	0.114848	0.116193	0.114715	31024	311475
AMN2	Transient global amnesia	Neurological endpoints	0.141946	0.0711411	0.114811	0.121194	0.114769	2153	326319
CD2_BENIGN_SALIVARY_NOS	Benign neoplasm: other/unspecified salivary gland	Neoplasms from hospital discharges (CD2_)	0.142007	-0.12633	0.114848	0.102463	0.114873	668	341831
O15_DELIV_OTHER_ASSIST	Other assisted single delivery	Pregnancy, childbirth and the puerperium (O15_)	0.142542	-0.173743	0.113889	0.0981336	0.113954	353	84558
AB1_SCARLET_FEVER	Scarlet fever	Certain infectious and parasitic diseases (AB1_)	0.142567	-0.253739	0.11477	0.0894637	0.114784	166	303314
K11_PERITONITIS	Acute peritonitis	Diseases of the digestive system (K11_)	0.142747	0.0807884	0.114864	0.122776	0.114826	1643	339707
L12_PERIORALDERM	Perioral dermatitis	Diseases of the skin and subcutaneous tissue (L12_)	0.143288	0.165151	0.114761	0.131767	0.114741	388	328747
I9_HEARTFAIL_AND_OVERWEIGHT	Heart failure and bmi 25plus	Cardiometabolic endpoints	0.143372	0.0303379	0.114146	0.116538	0.113893	15007	141870
K11_OTHDISSTOMDUOD	Other diseases of stomach and duodenum	Diseases of the digestive system (K11_)	0.144271	-0.0812825	0.114955	0.108105	0.114992	1593	292256
SPONDYLOPATHY_FG	Spondylopathies (FG)	Rheuma endpoints	0.144437	0.0510383	0.114156	0.119481	0.114072	4129	261098
CD2_NONFOLLICULAR_LYMPHOMA_EXALLC	Non-follicular lymphoma	Neoplasms from hospital discharges (CD2_)	0.144647	-0.0673193	0.115519	0.109501	0.115571	2340	271463
O15_POSTPART_HAEMORRH_PLACENTA	Postpartum haemorrhage due to retained placenta	Pregnancy, childbirth and the puerperium (O15_)	0.144842	-0.0583829	0.114684	0.109127	0.114815	3209	135610
E4_HYTHYPOSTINF	Postinfectious hypothyroidism	Endocrine, nutritional and metabolic diseases (E4_)	0.145101	-0.274311	0.113545	0.0846154	0.113559	143	292316
D3_ACQPUREREDCLLAPLASIA	Acquired pure red cell aplasia [erythroblastopenia]	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.14614	0.303527	0.114672	0.148596	0.11466	111	329526
E4_THYROIDITAUTOIM	Autoimmune thyroiditis	Endocrine, nutritional and metabolic diseases (E4_)	0.146737	0.156681	0.113579	0.127011	0.113559	437	292316
G6_MIGRAINE_NO_AURA_ADVERSE	Migraine without aura, drug-induced	Diseases of the nervous system (G6_)	0.147125	0.194203	0.114848	0.130233	0.114836	284	342215
G6_AD_WIDE	Alzheimer’s disease, wide definition	Diseases of the nervous system (G6_)	0.147325	0.0343692	0.114848	0.115987	0.114811	10839	331660
L12_CORNSANDCALLOS	Corns and callosities	Diseases of the skin and subcutaneous tissue (L12_)	0.147454	0.076547	0.114806	0.122295	0.114764	1786	321903
L12_HAIRCOLOUR	Hair colour and hair shaft abnormalities	Diseases of the skin and subcutaneous tissue (L12_)	0.147619	0.33121	0.11475	0.145833	0.114741	96	328747
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints	0.148255	-0.02774	0.115228	0.112248	0.115366	14128	305246
DRUGADVERS_TREMOR	Drug-induced tremor	Diseases of the nervous system (G6_)	0.149102	-0.282799	0.114848	0.0839695	0.11486	131	342368
N14_FIOTHNAS	Female infertility, cervigal, vaginal, other or unspecified origin	Diseases of the genitourinary system (N14_)	0.149724	-0.0339189	0.114558	0.111547	0.114854	9916	100663
M13_SOFTOVERUSE	Soft tissue disorders related to use, overuse and pressure	Diseases of the musculoskeletal system and connective tissue (M13_)	0.149758	-0.0387158	0.114781	0.110968	0.114888	7087	253122
E4_DELPUB	Delayed puberty	Endocrine, nutritional and metabolic diseases (E4_)	0.149978	0.231491	0.114916	0.139896	0.114901	193	329091
G6_MONOPLE	Monoplegia	Diseases of the nervous system (G6_)	0.150463	0.176769	0.114871	0.132622	0.114854	328	339360
G6_MYONEUOTHUNS	Other and unspecified myoneural disorders	Diseases of the nervous system (G6_)	0.151148	-0.332033	0.114885	0.0824176	0.114893	91	339462
K11_PARODON_OPER	Parodontitis or operation codes	Diseases of the digestive system (K11_)	0.151485	0.021166	0.114848	0.11742	0.114649	24689	317810
H7_OPTNERVE	Disorders of optic nerve and visual pathways	Diseases of the eye and adnexa (H7_)	0.151813	0.065999	0.114848	0.121738	0.114801	2344	340155
AB1_VARICELLA	Varicella [chickenpox]	Certain infectious and parasitic diseases (AB1_)	0.152768	-0.0940081	0.114802	0.106349	0.114832	1146	330087
I9_VEINSOTH	Other disorders of veins	Diseases of the circulatory system (I9_)	0.153366	-0.0311527	0.114749	0.112378	0.114837	10982	295014
F5_EMOPER	Emotionally unstable personality disorder	Mental and behavioural disorders (F5_)	0.153462	0.0538037	0.114935	0.117761	0.114903	3812	332850
FG_CEREBVASC	Cerebrovascular diseases (FINNGEN)	Diseases of the circulatory system (I9_)	0.153766	0.0255322	0.114751	0.115995	0.11456	25899	168000
P16_NEONTAL_JAUND_OTH_UNSP_CAUSES	Neonatal jaundice from other and unspecified causes	Certain conditions originating in the perinatal period (P16_)	0.154378	-0.193272	0.114851	0.108014	0.114857	287	342116
M13_SPONDYLOPATHY	Spondylopathies	Diseases of the musculoskeletal system and connective tissue (M13_)	0.154424	0.0189125	0.115198	0.116449	0.115029	33692	248831
K11_HERING	Inguinal hernia	Diseases of the digestive system (K11_)	0.154674	-0.0205321	0.114976	0.113433	0.115129	29078	293793
RX_ANTIHYP	Antihypertensive medication - note that there are other indications	Drug purchase endpoints	0.155103	0.0127504	0.114848	0.114929	0.114765	174314	168185
M13_DERMATOMYOTH	Other dermatomyositis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.155872	-0.27939	0.114588	0.0873016	0.114598	126	332115
G6_MONONPOTHUS	Other and unspecified mononeuropathies of upper limb	Diseases of the nervous system (G6_)	0.155974	0.118206	0.114503	0.124882	0.114478	725	301193
F5_BIPO	Bipolar affective disorders	Mental and behavioural disorders (F5_)	0.156024	-0.0435447	0.114924	0.108986	0.115049	6321	299886
Q17_CONGEN_MALFO_UTERUS_CERVIX	Congenital malformations of uterus and cervix	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.156537	0.142023	0.114848	0.130585	0.114825	488	339962
AB1_TULARAEMIA	Tularaemia	Certain infectious and parasitic diseases (AB1_)	0.156571	0.197488	0.114853	0.131104	0.114841	263	342109
KRA_PSY_BEHAV_EXMORE	Behavioural disorders	Psychiatric endpoints from Katri Räikkönen	0.158244	-0.151249	0.115131	0.109288	0.115144	563	254976
H7_CORNEALOEDEMA	Other corneal oedema	Diseases of the eye and adnexa (H7_)	0.159773	-0.267444	0.114634	0.0888889	0.114645	135	325475
L12_DISORDSKINAPPENDIX	Disorders of skin appendages	Diseases of the skin and subcutaneous tissue (L12_)	0.160285	0.0272036	0.114848	0.117428	0.114741	13752	328747
RHINITIS_VASOMOTOR	Vasomotor rhinitis (mode)	Comorbidities of Asthma	0.160379	-0.0751157	0.114875	0.106312	0.114919	1751	337512
F5_PERSOTH	Other and unspecified disorders of adult personality and behaviour	Mental and behavioural disorders (F5_)	0.160542	0.266013	0.114913	0.139963	0.114903	139	332850
VIT_DEF	Vitamin deficiency	Endocrine, nutritional and metabolic diseases (E4_)	0.16062	0.0910789	0.114891	0.124707	0.114856	1171	323324
H8_VESTIBNEUR	Vestibular neuronitis	Diseases of the ear and mastoid process (H8_)	0.160743	-0.0684988	0.114873	0.107912	0.114918	2093	326479
SMOKING_DEPEND	Smoking dependency	Comorbidities of Asthma	0.160784	0.0713077	0.114842	0.122725	0.114797	1912	339577
C_STROKE	STROKE	Comorbidities of Diabetes	0.160946	0.0199113	0.114476	0.1155	0.114334	34560	249480
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	Certain infectious and parasitic diseases (AB1_)	0.160947	-0.263628	0.114842	0.0886726	0.114852	139	340192
O15_PREEC_OR_FETGRO	Pre-eclampsia or poor fetal growth	Pregnancy, childbirth and the puerperium (O15_)	0.161495	0.0336292	0.114492	0.11723	0.114355	9080	181799
H7_GLAUCNAS	Other and unspecified glaucoma	Diseases of the eye and adnexa (H7_)	0.161627	0.083105	0.114624	0.123276	0.114587	1417	326434
F5_ALCOHOLAC	Acute alcohol intoxication	Mental and behavioural disorders (F5_)	0.162235	0.0355182	0.114976	0.118037	0.114899	8062	320852
EPILEPTIC_SEIZU_RELATED_DRUGS	Epileptic seizures related to drugs	Diseases of the nervous system (G6_)	0.163326	-0.345631	0.114848	0.0783841	0.114857	83	342416
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	Certain infectious and parasitic diseases (AB1_)	0.163568	-0.0781508	0.114864	0.108337	0.114894	1563	337486
O15_DELIV_FORCEP_VAC	Single delivery by forceps and vacuum extractor	Pregnancy, childbirth and the puerperium (O15_)	0.163827	-0.0408732	0.113686	0.110256	0.113954	6617	84558
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis	Certain infectious and parasitic diseases (AB1_)	0.163991	0.0764549	0.114858	0.122915	0.114819	1663	340528
CD2_BENIGN_CRANIAL_NERVE	Benign neoplasm: Cranial nerves	Neoplasms from hospital discharges (CD2_)	0.164516	0.122565	0.114848	0.127537	0.114825	637	341862
CD2_BENIGN_CORPUS_UTERI	Other benign neoplasm of uterus: Corpus uteri	Neoplasms from hospital discharges (CD2_)	0.164688	-0.247716	0.114492	0.0911637	0.114511	154	190725
O15_OBSTET_TRAUMA_OTHER	Other obstetric trauma	Pregnancy, childbirth and the puerperium (O15_)	0.165048	-0.0869718	0.114734	0.106464	0.114805	1278	148153
AB1_SALMONELLA_OTH	Other salmonella infections	Certain infectious and parasitic diseases (AB1_)	0.165414	-0.10027	0.114552	0.10471	0.114583	952	305879
H7_MILDVISIMPBINOC	Mild or no visual impairment, binocular	Diseases of the eye and adnexa (H7_)	0.165677	-0.298939	0.114879	0.0849057	0.114889	106	327640
Q17_CLEFT_LIP_CLEFT_PALATE	Cleft lip and cleft palate	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.165731	-0.15462	0.114848	0.0987647	0.114867	400	342099
K11_CONSTIPATION	Constipation	Diseases of the digestive system (K11_)	0.165807	-0.0189694	0.114848	0.112641	0.115064	30490	312009
CD2_BENIGN_SKIN	Other benign neoplasms of skin	Neoplasms from hospital discharges (CD2_)	0.165991	-0.0302733	0.114848	0.111932	0.114943	10782	331717
C3_ALL_EXALLC	Acute lymphocytic leukaemia	Neoplasms, from cancer register (ICD-O-3)	0.166828	0.240622	0.115565	0.140244	0.11555	164	259583
HLP_C3_ALL	Acute lymphocytic leukaemia	Neoplasms, from cancer register (ICD-O-3)	0.166843	0.240615	0.115565	0.140244	0.11555	164	259583
CD2_BENIGN_KIDNEY	Benign neoplasm: Kidney	Neoplasms from hospital discharges (CD2_)	0.168388	-0.115932	0.114848	0.103823	0.114871	697	341802
M13_ENTESOPATHYLOWNAS	Other/unspecified enthesopathies of lower limb, excluding foot	Diseases of the musculoskeletal system and connective tissue (M13_)	0.168421	0.0729266	0.11508	0.122274	0.115029	1779	248831
I9_CEREBDOTH	Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere	Diseases of the circulatory system (I9_)	0.16937	0.0749672	0.114713	0.12111	0.114678	1705	312768
F5_OCD	Obsessive-compulsive disorder	Mental and behavioural disorders (F5_)	0.169419	-0.075488	0.114852	0.105208	0.114906	1718	307558
D3_VONVILLEBRAND	Von Willebrand disease	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.17006	-0.179998	0.114837	0.0959162	0.114853	290	337408
M13_SYNOTEND	Disorders of synovium and tendon	Diseases of the musculoskeletal system and connective tissue (M13_)	0.170113	0.0236426	0.115047	0.11728	0.114888	18028	253122
N14_OTHDISMALEGEN	Other disorders of male genital organs	Diseases of the genitourinary system (N14_)	0.170635	-0.108005	0.11528	0.104433	0.115359	805	110070
C3_KIDNEY_NOTRENALPELVIS_EXALLC	Malignant neoplasm of kidney, except renal pelvis	Neoplasms, from cancer register (ICD-O-3)	0.170738	0.0712403	0.115614	0.124692	0.11555	1830	259583
H7_PARASTRA6	Sixth [abducent] nerve palsy	Diseases of the eye and adnexa (H7_)	0.172887	0.115619	0.114938	0.127118	0.114913	688	328688
PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE	Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced	Diseases of the circulatory system (I9_)	0.174861	0.196929	0.114848	0.132431	0.114836	239	342260
N14_RENFAILNAS	Unspecified kidney failure	Diseases of the genitourinary system (N14_)	0.175517	0.0638564	0.114769	0.121818	0.114721	2249	330300
L12_OTHERDISSKINANDSUBCUTIS	Other disorders of skin and subcutaneous tissue, not elsewhere classified	Diseases of the skin and subcutaneous tissue (L12_)	0.176596	0.0486048	0.114836	0.120819	0.114764	3854	321903
L12_RHINOPHYMA	Rhinophyma	Diseases of the skin and subcutaneous tissue (L12_)	0.17747	-0.278633	0.114731	0.0862576	0.114741	116	328747
